!	!
!!	!!
!((	!((
!)	!)
!-	!-
!mxt	!MXT
!xt	!XT
anchor	ANCHOR
ancient	ANCIENT
and	AND
andaman	ANDAMAN
andhra	ANDHRA
andorra	ANDORRA
andre	ANDRE
angela	ANGELA
anglicise	ANGLICISE
anna	ANNA
announcement	ANNOUNCEMENT
anoopan	ANOOPAN
anthem	ANTHEM
anti-vandalism	ANTI VANDALISM
antigua	ANTIGUA
antwerp	ANTWERP
any	ANY
apalsola	APALSOLA
apple	APPLE
ar	AR
arab	ARAB
arabia	ARABIA
archaeological	ARCHAEOLOGICAL
architect	ARCHITECT
archive	ARCHIVE
archives	ARCHIVE +(s)
area	AREA
arguments	ARGUMENTS
arizona	ARIZONA
arkansas	ARKANSAS
armenia	ARMENIA
armenian	ARMENIAN
arms	ARMS
army	ARMY
arseny1992	ARSENY1992
arthurbot	ARTHURBOT
article	ARTICLE
articles	ARTICLE +(s)
artigas	ARTIGAS
artwork	ARTWORK
arunachal	ARUNACHAL
as	AS
asbox	ASBOX
asi	ASI
asia	ASIA
assessment	ASSESSMENT
ast	AST
astronaut	ASTRONAUT
athletics	ATHLETICS
atom	ATOM
atp	ATP
attack	ATTACK
attribution-sharealike	ATTRIBUTION SHAREALIKE
au	AU
audio	AUDIO
audio-ipa	AUDIO IPA
australia	AUSTRALIA
austria	AUSTRIA
austria-hungary	AUSTRIA HUNGARY
austria/doc	AUSTRIA/DOC
author	AUTHOR
auto	AUTO
automatic	AUTOMATIC
autotaxobox	AUTO TAXOBOX
av	AV
avicbot	AVICBOT
avicennasis	AVICENNASIS
avocatobot	AVOCATOBOT
award	AWARD
awards	AWARD +(s)
az	AZ
azad	AZAD
azerbaijan	AZERBAIJAN
azores	AZORES
baba	BABA
babel	BABEL
babel-n	BABEL N
babu	BABU
backlog	BACKLOG
bad	BAD
badminton	BADMINTON
bahawalpur	BAHAWALPUR
bahrain	BAHRAIN
baja	BAJA
ban	BAN
bananas	BANANAS
bananasargs	BANANASARGS
bangladesh	BANGLADESH
banknote	BANKNOTE
banner	BANNER
banner/config	BANNER/CONFIG
bar	BAR
barbuda	BARBUDA
bare	BARE
barnstar	BARNSTAR
barnstars	BARNSTAR +(s)
based	BASED
basepage	BASEPAGE
basepagename	BASEPAGE NAME
batavian	BATAVIAN
bayern	BAYERN
be	BE
beaukarpo	BEAUKARPO
beetstra	BEETSTRA
begin	BEGIN
beilstein	BEILSTEIN
belarus	BELARUS
belgium	BELGIUM
bengali-language	BENGALI LANGUAGE
benin	BENIN
bermuda	BERMUDA
bernardm	BERNARDM
beta	BETA
better	BETTER
bg	BG
bgbot	BGBOT
bharatiya	BHARATIYA
bho	BHO
bhutan	BHUTAN
bibleref2	BIBLEREF2
bibleref2c	BIBLEREF2C
bibleref2c-nb	BIBLEREF2C NB
bibleverse	BIBLEVERSE
big	BIG
biju	BIJU
biography	BIOGRAPHY
birth	BIRTH
bishnu	BISHNU
black	BLACK
blockinblox	BLOCKINBLOX
bloem	BLOEM
blue	BLUE
bn	BN
body	BODY
bohemia	BOHEMIA
boilingpt	BOILINGPT
bolivia	BOLIVIA
bollywood	BOLLYWOOD
bombay	BOMBAY
book	BOOK
bookcover	BOOKCOVER
books	BOOK +(s)
books-inline	BOOK +(s) INLINE
border	BORDER
border-radius	BORDER RADIUS
boson	BOSON
bot	BOT
both	BOTH
botmultichill	BOTMULTICHILL
bots	BOT +(s)
bottom	BOTTOM
box	BOX
box-shadow	BOX SHADOW
box/cold	BOX/COLD
box/colh	BOX/COLH
box/colp	BOX/COLP
box/colpastel	BOX/COLPASTEL
box/cols	BOX/COLS
box/colt	BOX/COLT
box/configuration	BOX/CONFIGURATION
box/oneline	BOX/ONELINE
box/oneline/date	BOX/ONELINE/DATE
box2	BOX2
br	BR
brabant	BRABANT
bracket	BRACKET
brackets	BRACKET +(s)
braille	BRAILLE
brazil	BRAZIL
break	BREAK
breed	BREED
bridge	BRIDGE
britain	BRITAIN
britannica	BRITANNICA
british	BRITISH
broken	BROKEN
brunei	BRUNEI
brunswick	BRUNSWICK
bs	BS
bs-2	BS 2
bs-header	BS HEADER
bs-map	BS MAP
bs-overlap	BS OVERLAP
bs-table	BS TABLE
bs-table1	BS TABLE1
bs3	BS3
bs5	BS5
bs9	BS9
bse	BSE
bsicon	BSICON
bspx	BSPX
bsrow	BSROW
bsrow-2	BSROW 2
buffer	BUFFER
building	BUILDING
building/color	BUILDING/COLOR
building/count	BUILDING/COUNT
bulgaria	BULGARIA
bulleted	BULLETED
burgenland	BURGENLAND
burkina	BURKINA
busy	BUSY
button	BUTTON
bxt	BXT
by	BY
byelorussian	BYELORUSSIAN
byrialbot	BYRIALBOT
c	C
c++	C++
ca	CA
cagliari	CAGLIARI
caiaffa	CAIAFFA
calcio	CALCIO
calicut	CALICUT
california	CALIFORNIA
calls	CALLS
calso	CALSO
cambodia	CAMBODIA
cameroon	CAMEROON
campaignbox	CAMPAIGNBOX
campeche	CAMPECHE
canada	CANADA
canal	CANAL
candidate	CANDIDATE
card	CARD
carinthia	CARINTHIA
carkuni	CARKUNI
carolina	CAROLINA
carsrac	CARSRAC
carsracbot	CARSRACBOT
case	CASE
caste	CASTE
cat	CAT
catalog	CATALOG
category	CATEGORY
category-inline	CATEGORY INLINE
category-link	CATEGORY LINK
catpreceding	CATPRECEDING
catsucceeding	CATSUCCEEDING
cattrack	CATTRACK
caution	CAUTION
cave	CAVE
cc-by-sa-3.0	CC BY SA 3.0
ccbysasource	CCBYSASOURCE
cdd	CDD
cdo	CDO
cell	CELL
cell/core	CELL/CORE
cell/display	CELL/DISPLAY
cell/dot-id2character	CELL/DOT ID2CHARACTER
cell/dot-id2filename	CELL/DOT ID2FILENAME
cell/dot-id2filename-8dot	CELL/DOT ID2FILENAME 8DOT
cell/dot-id2unicode-id	CELL/DOT ID2UNICODE ID
cell/english&cell2dot-id	CELL/ENGLISH&CELL2DOT ID
cell/lang2lang-id	CELL/LANG2LANG ID
cell/main	CELL/MAIN
cell/main2	CELL/MAIN2
cell/main2singlecell	CELL/MAIN2 SINGLE CELL
cemetery	CEMETERY
census	CENSUS
center	CENTER
centralauth	CENTRALAUTH
ceylon	CEYLON
cguest	CGUEST
chad	CHAD
character	CHARACTER
character/wikidata	CHARACTER/WIKIDATA
characters	CHARACTER +(s)
chart	CHART
chart/celsius	CHART/CELSIUS
chart/end	CHART/END
chart/fahrenheit	CHART/FAHRENHEIT
chart/slice	CHART/SLICE
chart/start	CHART/START
chaubey	CHAUBEY
chebi	CHEBI
check	CHECK
chem	CHEM
chem/atom	CHEM/ATOM
chem/link	CHEM/LINK
chembl	CHEMBL
chembox	CHEMBOX
chiapas	CHIAPAS
chihuahua	CHIHUAHUA
chile	CHILE
china	CHINA
chinese/korean	CHINESE/KOREAN
chobot	CHOBOT
church	CHURCH
cia	CIA
circa	CIRCA
citation	CITATION
citation/core	CITATION/CORE
citation/cs1	CITATION/CS1
citation/cs1/coins	CITATION/CS1/COINS
citation/cs1/configuration	CITATION/CS1/CONFIGURATION
citation/cs1/date	CITATION/CS1/DATE
citation/cs1/identifiers	CITATION/CS1/IDENTIFIERS
citation/cs1/suggestions	CITATION/CS1/SUGGESTIONS
citation/cs1/utilities	CITATION/CS1/UTILITIES
citation/cs1/whitelist	CITATION/CS1/WHITELIST
citation/identifier	CITATION/IDENTIFIER
citation/make	CITATION/MAKE
citation/patent	CITATION/PATENT
citations	CITATION +(s)
cite	CITE
city	CITY
civil	CIVIL
civilian	CIVILIAN
clade	CLADE
clarify	CLARIFY
class	CLASS
class/colour	CLASS/COLOUR
class/column	CLASS/COLUMN
cleanup	CLEANUP
clear	CLEAR
click	CLICK
clickable	CLICKABLE
climate	CLIMATE
club	CLUB
cmain	CMAIN
cmbox	CMBOX
cnone	CNONE
coahuila	COAHUILA
coast	COAST
cocu	COCU
cocubot	COCUBOT
code	CODE
coins	COINS
col	COL
col-4	COL 4
col-begin	COL BEGIN
col-break	COL BREAK
col-end	COL END
colima	COLIMA
collapse	COLLAPSE
collapsetop	COLLAPSETOP
collapsible	COLLAPSIBLE
colombia	COLOMBIA
color	COLOR
colorado	COLORADO
colort/colorshort	COLORT/COLORSHORT
colour	COLOUR
columbia	COLUMBIA
column	COLUMN
column-count	COLUMN COUNT
columns	COLUMN +(s)
columns-list	COLUMN +(s) LIST
comma	COMMA
command	COMMAND
commission	COMMISSION
common.css	COMMON.CSS
commons	COMMONS
commons-inline	COMMONS INLINE
commonscat	COMMONSCAT
commonwealth	COMMONWEALTH
communist	COMMUNIST
competition	COMPETITION
competition/doc	COMPETITION/DOC
components	COMPONENTS
computer	COMPUTER
conference	CONFERENCE
conflict	CONFLICT
congress	CONGRESS
congress/meta/color	CONGRESS/META/COLOR
connacht	CONNACHT
connected	CONNECTED
connecticut	CONNECTICUT
conservation	CONSERVATION
constituency	CONSTITUENCY
containing	CONTAINING
contains	CONTAINS
content	CONTENT
contest	CONTEST
continent	CONTINENT
contrast	CONTRAST
contrast/colors	CONTRAST/COLORS
contrib	CONTRIB
contributor	CONTRIBUTOR
conversion	CONVERSION
convert	CONVERT
convert/data	CONVERT/DATA
convert/documentation	CONVERT/DOCUMENTATION
convert/extra	CONVERT/EXTRA
convert/list	CONVERT/LIST
convert/numdisp/frac	CONVERT/NUMDISP/FRAC
convert/numdisp/frac0	CONVERT/NUMDISP/FRAC0
convert/numdisp/frac1	CONVERT/NUMDISP/FRAC1
convert/text	CONVERT/TEXT
convert/wikidata	CONVERT/WIKIDATA
convert/wikidata/data	CONVERT/WIKIDATA/DATA
convertabbrev	CONVERTABBREV
convertabbrev/iso	CONVERTABBREV/ISO
convinfobox	CONVINFOBOX
convinfobox/pri2	CONVINFOBOX/PRI2
convinfobox/sec2	CONVINFOBOX/SEC2
cookbook	COOKBOOK
coor	COOR
coord	COORD
coord-doc-dim	COORD DOC DIM
coord/dec2dms	COORD/DEC2DMS
coord/dec2dms/dm	COORD/DEC2DMS/DM
coord/display/title	COORD/DISPLAY/TITLE
coord/dms2dec	COORD/DMS2DEC
coord/input/d	COORD/INPUT/D
coord/input/error	COORD/INPUT/ERROR
coord/prec	COORD/PREC
coord/sub	COORD/SUB
coordinate	COORDINATE
coordinates	COORDINATE +(s)
coordination	COORDINATION
copy	COPY
copyright	COPY RIGHT
correct	CORRECT
count	COUNT
country	COUNTRY
country/autocat	COUNTRY/AUTOCAT
country/imagetable	COUNTRY/IMAGETABLE
countryabbr	COUNTRY ABBR
countryabbr2	COUNTRYABBR2
court	COURT
covers	COVERS
cr-gsw-jt	CR GSW JT
create	CREATE
creative	CREATIVE
crecurring	CRECURRING
cref2	CREF2
cricket	CRICKET
cricketer	CRICKETER
cricketer/career	CRICKETER/CAREER
cricketer/national	CRICKETER/NATIONAL
croatia	CROATIA
crop	CROP
cross	CROSS
cs	CS
cs1	CS1
cs2	CS2
csb	CSB
css	CSS
css3	CSS3
cuaxdon	CUAXDON
culture	CULTURE
currency	CURRENCY
current	CURRENT
cvt	CVT
cycling	CYCLING
cyclist	CYCLIST
cyclones	CYCLONES
cyezbot~guwiki	CYEZBOT~GUWIKI
cyprus	CYPRUS
czech	CZECH
czechoslovakia	CZECHOSLOVAKIA
d.c.	D.C.
da	DA
dadra	DADRA
dagger	DAGGER
dahomey	DAHOMEY
dakota	DAKOTA
dal	DAL
dal/meta/color	DAL/META/COLOR
dam	DAM
darev	DAREV
darkicebot	DARKICEBOT
dash	DASH
data	DATA
data/documentation	DATA/DOCUMENTATION
data/scripts	DATA/SCRIPTS
date	DATE
dated	DATED
datei18n	DATE I18N
dates	DATE +(s)
days	DAYS
db	DB
dcljr	DCLJR
de	DE
de-1	DE 1
de-2	DE 2
dead	DEAD
deaglebot	DEAGLEBOT
death	DEATH
debian	DEBIAN
dec	DEC
decimals	DECIMALS
decreasepositive	DECREASEPOSITIVE
defn	DEFN
degree/bachelor	DEGREE/BACHELOR
degree/bsc	DEGREE/BSC
deity	DEITY
deity/wikidata	DEITY/WIKIDATA
delaware	DELAWARE
delete	DELETE
deletion/dated	DELETION/DATED
delink	DELINK
democratic	DEMOCRATIC
demotemplate	DEMOTEMPLATE
denmark	DENMARK
denniss	DENNISS
density	DENSITY
deprecated	DEPRECATED
desai	DESAI
desam	DESAM
description	DESCRIPTION
designation	DESIGNATION
designation/colour	DESIGNATION/COLOUR
designation/divbox	DESIGNATION/DIVBOX
designation/text	DESIGNATION/TEXT
destination	DESTINATION
detect	DETECT
detect/config	DETECT/CONFIG
detect/data	DETECT/DATA
devices	DEVICES
dharamsinh	DHARAMSINH
digambara	DIGAMBARA
diligence	DILIGENCE
dim	DIM
dim/core	DIM/CORE
diplomacy	DIPLOMACY
diq	DIQ
dir	DIR
direction	DIRECTION
disambig	DISAMBIG
discharge	DISCHARGE
disclaimer	DISCLAIMER
discussion/dated	DISCUSSION/DATED
diseasesdb2	DISEASESDB2
display	DISPLAY
dispute	DISPUTE
distinguish	DISTINGUISH
district	DISTRICT
div	DIV
divbox	DIVBOX
djsasso	DJSASSO
dmitri	DMITRI
dmoz	DMOZ
dmy	DMY
doc	DOC
documentation	DOCUMENTATION
documentation/config	DOCUMENTATION/CONFIG
documentation/core	DOCUMENTATION/CORE
documentation/core2	DOCUMENTATION/CORE2
documentation/docname	DOCUMENTATION/DOCNAME
documentation/end	DOCUMENTATION/END
documentation/id2	DOCUMENTATION/ID2
documentation/preload	DOCUMENTATION/PRELOAD
documentation/start	DOCUMENTATION/START
documentation/template	DOCUMENTATION/TEMPLATE
documentation/title	DOCUMENTATION/TITLE
dog	DOG
doi	DOI
domain	DOMAIN
don't	DON'T
draft:જ્યૉર્જ	DRAFT:જ્યૉર્જ
dragonbot	DRAGONBOT
dravida	DRAVIDA
draw	DRAW
drenthe	DRENTHE
drink	DRINK
dropped	DROPPED
dsb	DSB
dts	DTS
dubious	DUBIOUS
dudík	DUDÍK
dummytab	DUMMYTAB
duplicate	DUPLICATE
durango	DURANGO
duration	DURATION
durazno	DURAZNO
dutch	DUTCH
east	EAST
eb1911	EB1911
ecuador	ECUADOR
ed	ED
edit	EDIT
editatwikidata	EDITATWIKIDATA
editnotice	EDIT NOTICE
editor's	EDITOR'S
edits	EDIT +(s)
educa33e	EDUCA33E
edward	EDWARD
effective	EFFECTIVE
effeietsanders	EFFEIETSANDERS
efn	EFN
efn-ua	EFN UA
egypt	EGYPT
either	EITHER
eivindgh	EIVINDGH
election	ELECTION
election/row	ELECTION/ROW
election/shortname	ELECTION/SHORTNAME
electors	ELECTORS
elements	ELEMENTS
eliminated	ELIMINATED
ell2	ELL2
emacs	EMACS
emausbot	EMAUSBOT
embassy	EMBASSY
emergency-bot-shutoff	EMERGENCY BOT SHUTOFF
emijrp/list	EMIJRP/LIST
empire	EMPIRE
empty	EMPTY
emptyor	EMPTYOR
en	EN
en-2	EN 2
en-3	EN 3
en-4	EN 4
en-gb	EN GB
en-in	EN IN
en-n	EN N
en-us-4	EN US 4
encode	ENCODE
encyclopaedia	ENCYCLOPAEDIA
encyclopedia	ENCYCLOPEDIA
encyclopædia	ENCYCLOPÆDIA
end	END
endflowlist	ENDFLOWLIST
endswith	ENDSWITH
eng	ENG
engels	ENGELS
english	ENGLISH
ensure	ENSURE
entity	ENTITY
entries	ENTRIES
entry	ENTRY
enum	ENUM
eo	EO
episode	EPISODE
eritrea	ERITREA
erkan	ERKAN
error	ERROR
error-small	ERROR SMALL
errors	ERROR +(s)
errors:	ERRORS:
es	ES
es-1	ES 1
escarbot	ESCARBOT
estimation	ESTIMATION
estonian	ESTONIAN
ethics	ETHICS
ethiopia	ETHIOPIA
ethiopian	ETHIOPIAN
ethiopic	ETHIOPIC
ethnic	ETHNIC
ethnologue16	ETHNOLOGUE16
ethnologue19	ETHNOLOGUE19
euindex	EUINDEX
eustatius	EUSTATIUS
event	EVENT
example	EXAMPLE
exchange	EXCHANGE
expand	EXPAND
expiry	EXPIRY
explanation	EXPLANATION
external	EXTERNAL
extinction	EXTINCTION
extract	EXTRACT
extract/in	EXTRACT/IN
f1	F1
fa	FA
facebook	FACEBOOK
factbook	FACTBOOK
fadesga	FADESGA
failed	FAILED
failure	FAILURE
fair	FAIR
fajrbot	FAJRBOT
fake	FAKE
falkland	FALKLAND
family	FAMILY
faroe	FAROE
faso	FASO
fb	FB
fb-big	FB BIG
federal	FEDERAL
federated	FEDERATED
ffd	FFD
fi	FI
figures	FIGURES
figures/rnd	FIGURES/RND
file	FILE
files	FILE +(s)
film	FILM
filter	FILTER
find0	FIND0
finland	FINLAND
fiorentina	FIORENTINA
fire	FIRE
firibot	FIRIBOT
first	FIRST
flag	FLAG
flag2	FLAG2
flagairforce	FLAGAIRFORCE
flagbio	FLAGBIO
flagdeco	FLAGDECO
flagdeco/core	FLAGDECO/CORE
flagicon	FLAG ICON
flagicon/core	FLAGICON/CORE
flagioc2	FLAGIOC2
flagnavy	FLAG NAVY
flanders	FLANDERS
flat	FLAT
flatlist/microformat	FLATLIST/MICROFORMAT
flemish	FLEMISH
flevoland	FLEVOLAND
flood	FLOOD
florida	FLORIDA
flowlist	FLOWLIST
fmbox	FMBOX
folk	FOLK
font	FONT
football	FOOTBALL
footer	FOOTER
footer/tracking	FOOTER/TRACKING
footnotes	FOOTNOTES
for	FOR
force	FORCE
format	FORMAT
formatnum	FORMATNUM
former	FORMER
fossil	FOSSIL
foxbot	FOXBOT
foxie001	FOXIE001
fr	FR
fr-n	FR N
fra	FRA
france	FRANCE
franchise	FRANCHISE
frank5308000	FRANK5308000
frankfurt	FRANKFURT
free	FREE
french-language	FRENCH LANGUAGE
friesland	FRIESLAND
from	FROM
front/meta/color	FRONT/META/COLOR
fullbasepagename	FULLBASEPAGENAME
fullrootpagename	FULLROOTPAGENAME
functions	FUNCTIONS
gadget-wiked.js	GADGET WIKED.JS
gag	GAG
gain	GAIN
gallery	GALLERY
gallery/aux	GALLERY/AUX
gambia	GAMBIA
game	GAME
gangleri	GANGLERI
gaps	GAPS
gaudio	GAUDIO
gauge	GAUGE
gauge/data	GAUGE/DATA
gauge/extra	GAUGE/EXTRA
gbm4ibx	GBM4IBX
gbmappingsmall	GBMAPPINGSMALL
gelderland	GELDERLAND
general	GENERAL
geo-stub	GEO STUB
geobox	GEOBOX
geobox2	GEOBOX2
geogroup	GEOGROUP
geological	GEOLOGICAL
georgia	GEORGIA
georgian	GEORGIAN
georgiaphysiology	GEORGIAPHYSIOLOGY
geosouthasia	GEOSOUTHASIA
geotemplate	GEOTEMPLATE
geotemplate/lang	GEOTEMPLATE/LANG
german-language	GERMAN LANGUAGE
germany	GERMANY
get	GET
gfdl	GFDL
ghana	GHANA
gibraltar	GIBRALTAR
gl	GL
globals	GLOBALS
glottolink	GLOTTOLINK
glottolog	GLOTTOLOG
gnu	GNU
gold	GOLD
golfer	GOLFER
google	GOOGLE
governing	GOVERNING
government	GOVERNMENT
gpl-lic	GPL LIC
grading	GRADING
graph:pageviews	GRAPH:PAGEVIEWS
grapheme	GRAPHEME
graphical	GRAPHICAL
great	GREAT
greater	GREATER
greece	GREECE
grin	GRIN
groningen	GRONINGEN
ground	GROUND
group	GROUP
groups	GROUP +(s)
groveonline	GROVEONLINE
gu	GU
gu-0	GU 0
gu-1	GU 1
gu-2	GU 2
gu-3	GU 3
gu-4	GU 4
gu-n	GU N
guam	GUAM
guanajuato	GUANAJUATO
guerrero	GUERRERO
guiana	GUIANA
guide	GUIDE
gujarat-geo-stub	GUJARAT GEO STUB
gujarati	GUJARATI
gujlit	GUJLIT
guyana	GUYANA
gvp	GVP
hainaut	HAINAUT
hampshire	HAMPSHIRE
handbook	HANDBOOK
handler	HANDLER
handler/blacklist	HANDLER/BLACKLIST
handler/config	HANDLER/CONFIG
handler/data	HANDLER/DATA
handler/shared	HANDLER/SHARED
harald	HARALD
harsh4101991	HARSH4101991
harvard	HARVARD
has	HAS
hatnote	HATNOTE
hatnote-inline	HATNOTE INLINE
haveli	HAVELI
hawaii	HAWAII
hcards	HCARD* +(s)
header	HEADER
headerbar	HEADERBAR
heading	HEADING
heatcapacity	HEATCAPACITY
height	HEIGHT
help	HELP
helpbox	HELPBOX
herald	HERALD
herculebot	HERCULEBOT
heritage	HERITAGE
herodotus	HERODOTUS
hi	HI
hi-0	HI 0
hi-1	HI 1
hi-2	HI 2
hi-3	HI 3
hi-4	HI 4
hi-n	HI N
hidalgo	HIDALGO
hidden	HIDDEN
hide	HIDE
high	HIGH
high-risk	HIGH RISK
high-use	HIGH USE
highlight	HIGHLIGHT
highlight/core	HIGHLIGHT/CORE
hiking	HIKING
hind	HIND
hindu	HINDU
historic	HISTORIC
history	HISTORY
history/output	HISTORY/OUTPUT
hlist	HLIST
hold	HOLD
holiday	HOLIDAY
holiday/date	HOLIDAY/DATE
holland	HOLLAND
hong	HONG
horst	HORST
hotcat	HOTCAT
how	HOW
how-to	HOW TO
hr	HR
hsb	HSB
htmlbuilder	HTMLBUILDER
hu	HU
hugo.arg	HUGO.ARG
hungary	HUNGARY
i18n	I18N
iaaf	IAAF
iafd	IAFD
iast	IAST
icd10	ICD10
icd9	ICD9
ice	ICE
iceland	ICELAND
ices2csharp	ICES2CSHARP
icon	ICON
icon/data	ICON/DATA
icon2	ICON2
id	ID
idaho	IDAHO
idioma-bot	IDIOMA BOT
idw	IDW
iem4ibx	IEM4IBX
if	IF
ifarticle	IFARTICLE
ifnotempty	IFNOTEMPTY
ifsubst	IFSUBST
illinois	ILLINOIS
image	IMAGE
images	IMAGE +(s)
imdb	IMDB
importance	IMPORTANCE
importance/entry	IMPORTANCE/ENTRY
importance/icon	IMPORTANCE/ICON
importance/row	IMPORTANCE/ROW
improve	IMPROVE
in	IN
inc.	INC.
incorporating	INCORPORATING
incorrect	INCORRECT
increasenegative	INCREASENEGATIVE
ind	IND
independent	INDEPENDENT
index	INDEX
index/getchar	INDEX/GETCHAR
india	INDIA
india/meta/color	INDIA/META/COLOR
indian	INDIAN
indiana	INDIANA
indies	INDIES
indo-pakistani	INDO PAKISTANI
indonesia	INDONESIA
info	INFO
infobox	INFOBOX
infobox3cols	INFOBOX3COLS
infoboximage	INFOBOX IMAGE
inline	INLINE
inr	INR
inrconvert	INRCONVERT
inrconvert/currentrate	INRCONVERT/CURRENTRATE
insomnia	INSOMNIA
installation	INSTALLATION
instrument	INSTRUMENT
instrument/classification	INSTRUMENT/CLASSIFICATION
instrument/color	INSTRUMENT/COLOR
integrity	INTEGRITY
internal	INTERNAL
international	INTERNATIONAL
internet	INTERNET
interview	INTERVIEW
intricate	INTRICATE
intro	INTRO
invalid	INVALID
io	IO
iowa	IOWA
ip	IP
ipa	IPA
ipa-all	IPA ALL
ipa-fa	IPA FA
ipa-hns	IPA HNS
ipa-ml	IPA ML
ipa-sa	IPA SA
ipa-sh	IPA SH
ipablink	IPABLINK
ipac-en	IPAC EN
ipac-en/data	IPAC EN/DATA
ipac-en/phonemes	IPAC EN/PHONEMES
ipac-en/pronunciation	IPAC EN/PRONUNCIATION
ipac-ro/pronunciation	IPAC RO/PRONUNCIATION
ipaeng	IPAENG
ipaslink	IPASLINK
ipv4	IPV4
iran	IRAN
iraq	IRAQ
irc	IRC
ireland	IRELAND
irish	IRISH
irvin	IRVIN
is	IS
isbn	ISBN
isbnt	ISBNT
island	ISLAND
islands	ISLAND +(s)
islands/area	ISLANDS/AREA
islands/density	ISLANDS/DENSITY
islands/length	ISLANDS/LENGTH
iso	ISO
isodate	ISODATE
israel	ISRAEL
issues	ISSUES
isvalidpagename	ISVALIDPAGENAME
isxn	ISXN
it	IT
italic	ITALIC
italy	ITALY
item	ITEM
itis	ITIS
iucn	IUCN
iucn2009.2	IUCN2009.2
iucn2012.2	IUCN2012.2
ivory	IVORY
ja	JA
jain	JAIN
jalisco	JALISCO
jammu	JAMMU
jan	JAN
janata	JANATA
jandbot	JANDBOT
janwo	JANWO
japan	JAPAN
japanese-language	JAPANESE LANGUAGE
jct/city	JCT/CITY
jersey	JERSEY
jfblanc	JFBLANC
jhsbot	JHSBOT
jiggythakor	JIGGYTHAKOR
jnanpith	JNANPITH
jon	JON
jordan	JORDAN
jorunn	JORUNN
jose77	JOSE77
josé	JOSÉ
journal	JOURNAL
jsoby	JSOBY
jstor/userbox	JSTOR/USERBOX
junafani	JUNAFANI
jurisdiction	JURISDICTION
jybot	JYBOT
jøma	JØMA
ka	KA
kalmar	KALMAR
kamgar	KAMGAR
kanesue	KANESUE
kanjy	KANJY
kansas	KANSAS
karnataka	KARNATAKA
kashmir	KASHMIR
kasirbot	KASIRBOT
kazakh	KAZAKH
kazakhstan	KAZAKHSTAN
kazhagam/meta/color	KAZHAGAM/META/COLOR
kedar	KEDAR
kelovy	KELOVY
kentucky	KENTUCKY
kenya	KENYA
kg	KG
khan	KHAN
khanbot	KHANBOT
kharan	KHARAN
khmer-language	KHMER LANGUAGE
kia	KIA
kindness	KINDNESS
kingdom	KINGDOM
kirghiz	KIRGHIZ
kisan	KISAN
kit	KIT
km	KM
kn	KN
ko	KO
koavf	KOAVF
kolega2357	KOLEGA2357
kolibrios	KOLIBRIOS
kolkata	KOLKATA
kondicherry	KONDICHERRY
kong	KONG
konkan	KONKAN
korea	KOREA
korean	KOREAN
kutchkutch	KUTCHKUTCH
kuwait	KUWAIT
kyrgyzstan	KYRGYZSTAN
la	LA
label	LABEL
labelled	LABELLED
labrador	LABRADOR
lang	LANG
