!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
agency	ag@@ enc@@ y
ago	ag@@ o
aguas	ag@@ u@@ as
aguascalientes	ag@@ u@@ as@@ c@@ ali@@ ent@@ es
air	a@@ i@@ r
airline	a@@ ir@@ line
airport	a@@ ir@@ por@@ t
airport/datatable	a@@ ir@@ p@@ ort@@ /dat@@ at@@ a@@ ble
alabama	al@@ ab@@ am@@ a
aladdin	al@@ ad@@ di@@ n
alaska	al@@ as@@ k@@ a
albania	al@@ ban@@ ia
alberta	al@@ ber@@ ta
alberth2	al@@ ber@@ th@@ 2
album	al@@ bu@@ m
album/link	al@@ b@@ um@@ /@@ link
alexander	al@@ ex@@ and@@ er
alexsh	al@@ ex@@ s@@ h
algeria	al@@ g@@ er@@ ia
ali	al@@ i
alias	ali@@ as
align	al@@ ig@@ n
aligned	al@@ ig@@ ne@@ d
all	all
allcaps	all@@ ca@@ p@@ s
alleborgobot	al@@ le@@ bo@@ r@@ go@@ bot
allothernames	al@@ lo@@ ther@@ name@@ s
allothernames/format	al@@ lo@@ ther@@ name@@ s/@@ for@@ ma@@ t
allow	al@@ lo@@ w
almabot	al@@ ma@@ bot
alnoktabot	al@@ no@@ k@@ ta@@ bot
alone	a@@ lo@@ n@@ e
also	al@@ s@@ o
alternative	al@@ ter@@ n@@ at@@ ive
ambox	am@@ box
ambox/category	am@@ box/@@ category
ambox/core	am@@ box@@ /core
american	am@@ er@@ ic@@ an
amiens984~guwiki	am@@ i@@ en@@ s@@ 9@@ 8@@ 4@@ ~@@ gu@@ wiki
amounts	a@@ mo@@ u@@ nt@@ s
amtrak	am@@ tra@@ k
an	an
anas1712	an@@ as@@ 1@@ 7@@ 1@@ 2
anb	an@@ b
anchor	an@@ ch@@ or
ancient	an@@ ci@@ ent
and	and
andaman	and@@ a@@ ma@@ n
andhra	and@@ h@@ r@@ a
andorra	and@@ or@@ r@@ a
andre	and@@ re
angela	an@@ ge@@ l@@ a
anglicise	an@@ g@@ l@@ ic@@ is@@ e
anna	an@@ n@@ a
announcement	an@@ no@@ un@@ ce@@ ment
anoopan	an@@ o@@ o@@ p@@ an
anthem	a@@ nt@@ he@@ m
anti-vandalism	a@@ nt@@ i@@ -@@ v@@ and@@ al@@ is@@ m
antigua	a@@ nt@@ i@@ gu@@ a
antwerp	a@@ nt@@ w@@ er@@ p
any	an@@ y
apalsola	ap@@ al@@ so@@ l@@ a
apple	ap@@ p@@ le
ar	ar
arab	ara@@ b
arabia	ara@@ b@@ ia
archaeological	arch@@ a@@ e@@ o@@ log@@ ic@@ al
architect	arch@@ it@@ ect
archive	archive
archives	archive ⧺s
area	ar@@ e@@ a
arguments	ar@@ gu@@ ment@@ s
arizona	ar@@ i@@ z@@ on@@ a
arkansas	ar@@ k@@ ans@@ as
armenia	ar@@ me@@ nia
armenian	ar@@ me@@ n@@ ian
arms	ar@@ m@@ s
army	ar@@ my
arseny1992	ar@@ s@@ en@@ y@@ 19@@ 9@@ 2
arthurbot	art@@ h@@ ur@@ bot
article	article
articles	article ⧺s
artigas	art@@ ig@@ as
artwork	art@@ wor@@ k
arunachal	ar@@ u@@ na@@ ch@@ al
as	as
asbox	as@@ box
asi	as@@ i
asia	as@@ ia
assessment	as@@ se@@ ss@@ ment
ast	ast
astronaut	a@@ st@@ ro@@ na@@ ut
athletics	ath@@ le@@ t@@ ic@@ s
atom	at@@ o@@ m
atp	at@@ p
attack	at@@ ta@@ ck
attribution-sharealike	at@@ tr@@ ib@@ ut@@ ion@@ -@@ sh@@ ar@@ e@@ al@@ ik@@ e
au	a@@ u
audio	au@@ di@@ o
audio-ipa	au@@ di@@ o@@ -@@ ipa
australia	a@@ us@@ tr@@ al@@ ia
austria	a@@ us@@ tr@@ ia
austria-hungary	a@@ us@@ tr@@ ia@@ -@@ h@@ un@@ g@@ ary
austria/doc	a@@ us@@ tr@@ i@@ a/@@ doc
author	au@@ th@@ or
auto	a@@ ut@@ o
automatic	au@@ to@@ m@@ at@@ ic
autotaxobox	a@@ ut@@ o@@ taxobox
av	a@@ v
avicbot	av@@ ic@@ bot
avicennasis	av@@ ic@@ en@@ na@@ si@@ s
avocatobot	av@@ o@@ c@@ at@@ o@@ bot
award	a@@ war@@ d
awards	a@@ war@@ d ⧺s
az	a@@ z
azad	az@@ ad
azerbaijan	az@@ er@@ ba@@ i@@ j@@ an
azores	az@@ o@@ re@@ s
baba	ba@@ b@@ a
babel	ba@@ bel
babel-n	ba@@ bel@@ -@@ n
babu	ba@@ b@@ u
backlog	ba@@ ck@@ lo@@ g
bad	ba@@ d
badminton	b@@ ad@@ m@@ in@@ to@@ n
bahawalpur	ba@@ h@@ a@@ w@@ al@@ p@@ ur
bahrain	ba@@ h@@ ra@@ in
baja	ba@@ j@@ a
ban	b@@ an
bananas	ban@@ an@@ as
bananasargs	ban@@ an@@ as@@ ar@@ g@@ s
bangladesh	ban@@ g@@ la@@ des@@ h
banknote	ban@@ k@@ note
banner	bann@@ er
banner/config	bann@@ er@@ /config
bar	bar
barbuda	b@@ ar@@ bu@@ d@@ a
bare	b@@ ar@@ e
barnstar	barnstar
barnstars	barnstar ⧺s
based	bas@@ ed
basepage	bas@@ e@@ page
basepagename	bas@@ e@@ page@@ name
batavian	b@@ at@@ a@@ vi@@ an
bayern	ba@@ y@@ er@@ n
be	b@@ e
beaukarpo	be@@ au@@ k@@ ar@@ p@@ o
beetstra	be@@ e@@ t@@ str@@ a
begin	be@@ g@@ in
beilstein	be@@ il@@ st@@ e@@ in
belarus	be@@ l@@ ar@@ us
belgium	be@@ l@@ g@@ i@@ u@@ m
bengali-language	b@@ eng@@ al@@ i@@ -@@ language
benin	b@@ en@@ in
bermuda	ber@@ m@@ u@@ d@@ a
bernardm	ber@@ n@@ ar@@ d@@ m
beta	be@@ ta
better	be@@ tt@@ er
bg	b@@ g
bgbot	b@@ g@@ bot
bharatiya	b@@ har@@ at@@ i@@ y@@ a
bho	b@@ h@@ o
bhutan	b@@ hu@@ tan
bibleref2	b@@ ib@@ ler@@ e@@ f@@ 2
bibleref2c	b@@ ib@@ ler@@ e@@ f@@ 2@@ c
bibleref2c-nb	b@@ ib@@ ler@@ e@@ f@@ 2@@ c@@ -@@ n@@ b
bibleverse	b@@ ib@@ le@@ ver@@ se
big	bi@@ g
biju	bi@@ j@@ u
biography	b@@ io@@ gra@@ ph@@ y
birth	b@@ ir@@ th
bishnu	b@@ is@@ h@@ n@@ u
black	b@@ la@@ ck
blockinblox	b@@ loc@@ k@@ in@@ b@@ lo@@ x
bloem	b@@ lo@@ em
blue	b@@ lu@@ e
bn	b@@ n
body	bo@@ d@@ y
bohemia	bo@@ h@@ em@@ ia
boilingpt	bo@@ i@@ lin@@ g@@ p@@ t
bolivia	bo@@ l@@ iv@@ ia
bollywood	bo@@ l@@ l@@ y@@ w@@ o@@ o@@ d
bombay	bo@@ m@@ ba@@ y
book	book
bookcover	boo@@ k@@ co@@ v@@ er
books	book ⧺s
books-inline	book ⧺s@@ -@@ inline
border	bo@@ r@@ d@@ er
border-radius	bo@@ r@@ d@@ er@@ -@@ ra@@ di@@ us
boson	bo@@ so@@ n
bot	bot
both	bot@@ h
botmultichill	bot@@ mult@@ ic@@ h@@ il@@ l
bots	bot ⧺s
bottom	bot@@ to@@ m
box	box
box-shadow	box@@ -@@ sh@@ a@@ do@@ w
box/cold	box@@ /col@@ d
box/colh	box@@ /col@@ h
box/colp	box@@ /col@@ p
box/colpastel	box@@ /col@@ p@@ a@@ st@@ el
box/cols	box@@ /col@@ s
box/colt	box@@ /col@@ t
box/configuration	box@@ /con@@ f@@ ig@@ ur@@ ation
box/oneline	box/@@ o@@ ne@@ line
box/oneline/date	box/@@ o@@ ne@@ lin@@ e@@ /dat@@ e
box2	box2
br	b@@ r
brabant	bra@@ ban@@ t
bracket	bra@@ c@@ ke@@ t
brackets	bra@@ c@@ ke@@ t ⧺s
braille	braille
brazil	bra@@ z@@ il
break	bre@@ a@@ k
breed	bre@@ ed
bridge	b@@ ri@@ d@@ ge
britain	brit@@ ain
britannica	brit@@ an@@ n@@ ic@@ a
british	brit@@ ish
broken	b@@ ro@@ k@@ en
brunei	b@@ r@@ un@@ e@@ i
brunswick	b@@ r@@ un@@ s@@ w@@ ic@@ k
bs	bs
bs-2	bs@@ -@@ 2
bs-header	bs@@ -@@ header
bs-map	bs@@ -@@ map
bs-overlap	bs@@ -@@ o@@ ver@@ la@@ p
bs-table	bs@@ -@@ table
bs-table1	bs@@ -@@ ta@@ b@@ le@@ 1
bs3	bs@@ 3
bs5	bs@@ 5
bs9	bs@@ 9
bse	b@@ se
bsicon	bs@@ icon
bspx	b@@ sp@@ x
bsrow	bs@@ ro@@ w
bsrow-2	bs@@ ro@@ w@@ -@@ 2
buffer	bu@@ ff@@ er
building	bu@@ il@@ d@@ ing
building/color	bu@@ il@@ d@@ ing@@ /color
building/count	bu@@ il@@ d@@ ing@@ /@@ cou@@ nt
bulgaria	b@@ ul@@ g@@ ar@@ ia
bulleted	b@@ ul@@ le@@ ted
burgenland	b@@ ur@@ g@@ en@@ land
burkina	b@@ ur@@ k@@ in@@ a
busy	b@@ us@@ y
button	b@@ ut@@ to@@ n
bxt	b@@ xt
by	by
byelorussian	b@@ ye@@ lo@@ r@@ us@@ si@@ an
byrialbot	b@@ y@@ ri@@ al@@ bot
c	c
c++	c@@ +@@ +
ca	c@@ a
cagliari	c@@ ag@@ li@@ ar@@ i
caiaffa	ca@@ i@@ af@@ f@@ a
calcio	c@@ al@@ ci@@ o
calicut	c@@ al@@ ic@@ ut
california	c@@ ali@@ for@@ nia
calls	c@@ all@@ s
calso	c@@ al@@ s@@ o
cambodia	c@@ am@@ bo@@ dia
cameroon	c@@ am@@ er@@ o@@ on
campaignbox	ca@@ mp@@ a@@ ign@@ box
campeche	ca@@ mp@@ e@@ ch@@ e
canada	can@@ ada
canal	can@@ al
candidate	can@@ di@@ date
card	car@@ d
carinthia	car@@ in@@ th@@ ia
carkuni	car@@ k@@ un@@ i
carolina	car@@ o@@ lin@@ a
carsrac	car@@ s@@ ra@@ c
carsracbot	car@@ s@@ ra@@ c@@ bot
case	c@@ as@@ e
caste	ca@@ st@@ e
cat	cat
catalog	c@@ at@@ a@@ lo@@ g
category	category
category-inline	category@@ -@@ inline
category-link	category@@ -@@ link
catpreceding	c@@ at@@ pre@@ ce@@ d@@ ing
catsucceeding	c@@ at@@ su@@ c@@ ce@@ ed@@ ing
cattrack	c@@ at@@ track
caution	ca@@ ut@@ ion
cave	ca@@ v@@ e
cc-by-sa-3.0	c@@ c@@ -@@ by@@ -@@ s@@ a@@ -@@ 3@@ .@@ 0
ccbysasource	c@@ c@@ b@@ y@@ s@@ as@@ o@@ urce
cdd	c@@ d@@ d
cdo	c@@ d@@ o
cell	cel@@ l
cell/core	cel@@ l@@ /core
cell/display	cell/@@ dis@@ pla@@ y
cell/dot-id2character	cell/@@ do@@ t@@ -@@ id@@ 2@@ ch@@ ara@@ ct@@ er
cell/dot-id2filename	cell/@@ do@@ t@@ -@@ id@@ 2@@ f@@ il@@ en@@ am@@ e
cell/dot-id2filename-8dot	cell/@@ do@@ t@@ -@@ id@@ 2@@ f@@ il@@ en@@ am@@ e@@ -@@ 8@@ do@@ t
cell/dot-id2unicode-id	cell/@@ do@@ t@@ -@@ id@@ 2@@ un@@ ico@@ de@@ -@@ id
cell/english&cell2dot-id	cell/@@ eng@@ lis@@ h@@ &@@ cel@@ l@@ 2@@ do@@ t@@ -@@ id
cell/lang2lang-id	cell/@@ lan@@ g@@ 2@@ lang@@ -@@ id
cell/main	cell/@@ main
cell/main2	cell/@@ main@@ 2
cell/main2singlecell	cell/@@ main@@ 2@@ s@@ ing@@ le@@ cel@@ l
cemetery	ce@@ me@@ te@@ ry
census	c@@ en@@ su@@ s
center	ce@@ nt@@ er
centralauth	ce@@ nt@@ r@@ al@@ a@@ uth
ceylon	ce@@ y@@ lo@@ n
cguest	c@@ gu@@ es@@ t
chad	ch@@ ad
character	ch@@ ara@@ ct@@ er
character/wikidata	ch@@ ara@@ ct@@ er@@ /@@ wikidata
characters	ch@@ ara@@ ct@@ er ⧺s
chart	ch@@ art
chart/celsius	ch@@ art@@ /@@ cel@@ si@@ us
chart/end	ch@@ art@@ /@@ end
chart/fahrenheit	ch@@ art@@ /@@ fa@@ h@@ re@@ n@@ he@@ it
chart/slice	ch@@ art@@ /@@ s@@ l@@ ice
chart/start	ch@@ art@@ /@@ start
chaubey	ch@@ au@@ be@@ y
chebi	che@@ b@@ i
check	che@@ ck
chem	che@@ m
chem/atom	chem@@ /@@ at@@ o@@ m
chem/link	chem@@ /@@ link
chembl	chem@@ b@@ l
chembox	chembox
chiapas	ch@@ i@@ ap@@ as
chihuahua	ch@@ i@@ hu@@ a@@ hu@@ a
chile	ch@@ i@@ le
china	ch@@ in@@ a
chinese/korean	ch@@ in@@ e@@ se@@ /@@ kore@@ an
chobot	ch@@ o@@ bot
church	ch@@ ur@@ ch
cia	c@@ ia
circa	c@@ ir@@ c@@ a
citation	citation
citation/core	cit@@ ation@@ /core
citation/cs1	citation/@@ cs1
citation/cs1/coins	citation/cs1@@ /co@@ in@@ s
citation/cs1/configuration	citation/cs1@@ /con@@ f@@ ig@@ ur@@ ation
citation/cs1/date	citation/cs1@@ /dat@@ e
citation/cs1/identifiers	citation/cs1@@ /@@ i@@ de@@ nt@@ i@@ fi@@ ers
citation/cs1/suggestions	citation/cs1@@ /@@ su@@ g@@ ge@@ st@@ ion@@ s
citation/cs1/utilities	citation/cs1@@ /@@ ut@@ il@@ it@@ i@@ es
citation/cs1/whitelist	citation/cs1@@ /@@ w@@ h@@ it@@ e@@ list
citation/identifier	citation/@@ i@@ de@@ nt@@ i@@ fi@@ er
citation/make	citation/@@ ma@@ k@@ e
citation/patent	citation/@@ p@@ at@@ ent
citations	citation ⧺s
cite	cite
city	cit@@ y
civil	c@@ iv@@ il
civilian	c@@ iv@@ il@@ ian
clade	c@@ la@@ de
clarify	cl@@ ar@@ if@@ y
class	clas@@ s
class/colour	clas@@ s@@ /co@@ lo@@ ur
class/column	clas@@ s@@ /col@@ umn
cleanup	c@@ le@@ an@@ up
clear	c@@ le@@ ar
click	cl@@ ic@@ k
clickable	cl@@ ic@@ k@@ a@@ ble
climate	cl@@ im@@ ate
club	cl@@ ub
cmain	c@@ main
cmbox	c@@ m@@ box
cnone	c@@ no@@ n@@ e
coahuila	co@@ a@@ hu@@ il@@ a
coast	co@@ ast
cocu	co@@ c@@ u
cocubot	co@@ cu@@ bot
code	code
coins	co@@ in@@ s
col	co@@ l
col-4	co@@ l@@ -@@ 4
col-begin	co@@ l@@ -@@ be@@ g@@ in
col-break	co@@ l@@ -@@ bre@@ a@@ k
col-end	co@@ l@@ -@@ end
colima	col@@ im@@ a
collapse	collap@@ se
collapsetop	collap@@ se@@ to@@ p
collapsible	collap@@ si@@ ble
colombia	colo@@ m@@ b@@ ia
color	color
colorado	colo@@ ra@@ d@@ o
colort/colorshort	colo@@ r@@ t@@ /co@@ lo@@ r@@ sh@@ ort
colour	colour
columbia	col@@ um@@ b@@ ia
column	col@@ umn
column-count	col@@ umn@@ -@@ cou@@ nt
columns	col@@ umn ⧺s
columns-list	col@@ umn ⧺s@@ -@@ list
comma	com@@ m@@ a
command	com@@ m@@ and
commission	com@@ m@@ is@@ s@@ ion
common.css	common@@ .@@ cs@@ s
commons	common@@ s
commons-inline	common@@ s@@ -@@ inline
commonscat	common@@ s@@ cat
commonwealth	common@@ we@@ al@@ th
communist	com@@ m@@ un@@ is@@ t
competition	co@@ mp@@ e@@ tit@@ ion
competition/doc	co@@ mp@@ e@@ tit@@ ion@@ /@@ doc
components	co@@ mp@@ o@@ ne@@ nt@@ s
computer	co@@ mp@@ ut@@ er
conference	con@@ f@@ er@@ en@@ ce
conflict	con@@ fl@@ ic@@ t
congress	con@@ gre@@ s@@ s
congress/meta/color	con@@ gre@@ ss@@ /meta/color
connacht	con@@ na@@ ch@@ t
connected	con@@ ne@@ c@@ ted
connecticut	con@@ ne@@ ct@@ ic@@ ut
conservation	con@@ s@@ er@@ v@@ ation
constituency	con@@ st@@ it@@ u@@ enc@@ y
containing	containing
contains	contain@@ s
content	cont@@ ent
contest	cont@@ es@@ t
continent	cont@@ in@@ ent
contrast	cont@@ ra@@ st
contrast/colors	cont@@ ra@@ st@@ /co@@ lo@@ r@@ s
contrib	cont@@ ri@@ b
contributor	cont@@ ri@@ bu@@ to@@ r
conversion	conver@@ s@@ ion
convert	conver@@ t
convert/data	convert/@@ data
convert/documentation	convert/@@ documentation
convert/extra	convert/@@ ex@@ tr@@ a
convert/list	convert/@@ list
convert/numdisp/frac	convert/@@ num@@ dis@@ p@@ /@@ fra@@ c
convert/numdisp/frac0	convert/@@ num@@ dis@@ p@@ /@@ fra@@ c@@ 0
convert/numdisp/frac1	convert/@@ num@@ dis@@ p@@ /@@ fra@@ c@@ 1
convert/text	convert/@@ text
convert/wikidata	convert/@@ wikidata
convert/wikidata/data	convert/@@ wiki@@ dat@@ a/@@ data
convertabbrev	conver@@ ta@@ b@@ bre@@ v
convertabbrev/iso	conver@@ ta@@ b@@ bre@@ v@@ /@@ iso
convinfobox	con@@ v@@ infobox
convinfobox/pri2	con@@ v@@ info@@ box/@@ p@@ ri@@ 2
convinfobox/sec2	con@@ v@@ info@@ box/@@ se@@ c@@ 2
cookbook	co@@ o@@ k@@ book
coor	co@@ or
coord	coord
coord-doc-dim	coord@@ -@@ doc@@ -@@ di@@ m
coord/dec2dms	coord/@@ de@@ c@@ 2@@ d@@ m@@ s
coord/dec2dms/dm	coord/@@ de@@ c@@ 2@@ d@@ m@@ s/@@ d@@ m
coord/display/title	coord/@@ dis@@ pla@@ y/@@ title
coord/dms2dec	coord/@@ d@@ m@@ s@@ 2@@ de@@ c
coord/input/d	coord/@@ in@@ p@@ ut@@ /@@ d
coord/input/error	coord/@@ in@@ p@@ ut@@ /@@ error
coord/prec	coord/@@ pre@@ c
coord/sub	coord/@@ su@@ b
coordinate	coord@@ in@@ ate
coordinates	coord@@ in@@ ate ⧺s
coordination	coord@@ in@@ ation
copy	co@@ p@@ y
copyright	co@@ p@@ y@@ r@@ ight
correct	co@@ r@@ rect
count	cou@@ nt
country	country
country/autocat	cou@@ nt@@ r@@ y/@@ au@@ to@@ cat
country/imagetable	cou@@ nt@@ r@@ y/@@ im@@ age@@ table
countryabbr	country@@ ab@@ b@@ r
countryabbr2	cou@@ nt@@ r@@ y@@ ab@@ b@@ r@@ 2
court	cou@@ r@@ t
covers	co@@ ver@@ s
cr-gsw-jt	c@@ r@@ -@@ g@@ s@@ w@@ -@@ j@@ t
create	c@@ re@@ ate
creative	c@@ re@@ at@@ ive
crecurring	c@@ re@@ cur@@ r@@ ing
cref2	c@@ ref@@ 2
cricket	c@@ ric@@ ke@@ t
cricketer	c@@ ric@@ ke@@ ter
cricketer/career	c@@ ric@@ ke@@ ter@@ /@@ car@@ e@@ er
cricketer/national	c@@ ric@@ ke@@ ter@@ /@@ n@@ at@@ io@@ nal
croatia	c@@ ro@@ at@@ ia
crop	c@@ ro@@ p
cross	c@@ ro@@ s@@ s
cs	c@@ s
cs1	cs1
cs2	cs@@ 2
csb	cs@@ b
css	cs@@ s
css3	c@@ ss@@ 3
cuaxdon	cu@@ a@@ x@@ do@@ n
culture	cu@@ l@@ t@@ ure
currency	cur@@ re@@ n@@ c@@ y
current	cur@@ re@@ nt
cvt	c@@ v@@ t
cycling	c@@ y@@ c@@ lin@@ g
cyclist	c@@ y@@ c@@ list
cyclones	c@@ y@@ c@@ lo@@ ne@@ s
cyezbot~guwiki	c@@ ye@@ z@@ bot@@ ~@@ gu@@ wiki
cyprus	c@@ yp@@ r@@ us
czech	c@@ z@@ e@@ ch
czechoslovakia	c@@ z@@ e@@ ch@@ o@@ s@@ lo@@ v@@ ak@@ ia
d.c.	d@@ .@@ c@@ .
da	d@@ a
dadra	d@@ ad@@ r@@ a
dagger	d@@ ag@@ g@@ er
dahomey	da@@ ho@@ me@@ y
dakota	da@@ ko@@ ta
dal	d@@ al
dal/meta/color	d@@ al@@ /meta/color
dam	da@@ m
darev	d@@ ar@@ e@@ v
darkicebot	d@@ ar@@ k@@ ic@@ e@@ bot
dash	d@@ as@@ h
data	data
data/documentation	dat@@ a/@@ documentation
data/scripts	dat@@ a/@@ scrip@@ t@@ s
date	date
dated	dat@@ ed
datei18n	date@@ i@@ 1@@ 8@@ n
dates	date ⧺s
days	da@@ y@@ s
db	d@@ b
dcljr	d@@ cl@@ j@@ r
de	de
de-1	de@@ -@@ 1
de-2	de@@ -@@ 2
dead	de@@ ad
deaglebot	de@@ ag@@ le@@ bot
death	de@@ at@@ h
debian	de@@ bi@@ an
dec	de@@ c
decimals	de@@ c@@ im@@ al@@ s
decreasepositive	de@@ c@@ re@@ as@@ e@@ po@@ sit@@ ive
defn	de@@ f@@ n
degree/bachelor	de@@ gre@@ e/@@ ba@@ che@@ lor
degree/bsc	de@@ gre@@ e/@@ bs@@ c
deity	de@@ it@@ y
deity/wikidata	de@@ it@@ y/@@ wikidata
delaware	de@@ la@@ war@@ e
delete	de@@ le@@ te
deletion/dated	de@@ le@@ t@@ ion@@ /dat@@ ed
delink	de@@ link
democratic	de@@ mo@@ c@@ r@@ at@@ ic
demotemplate	de@@ mo@@ template
denmark	d@@ en@@ mar@@ k
denniss	d@@ en@@ n@@ is@@ s
density	d@@ en@@ sity
deprecated	de@@ pre@@ cate@@ d
desai	des@@ a@@ i
desam	des@@ a@@ m
description	de@@ scrip@@ t@@ ion
designation	des@@ ign@@ ation
designation/colour	des@@ ign@@ ation@@ /co@@ lo@@ ur
designation/divbox	des@@ ign@@ ation/@@ di@@ v@@ box
designation/text	des@@ ign@@ ation/@@ text
destination	de@@ st@@ in@@ ation
detect	de@@ te@@ ct
detect/config	de@@ te@@ ct@@ /config
detect/data	de@@ te@@ ct@@ /data
devices	de@@ v@@ ic@@ es
dharamsinh	d@@ har@@ am@@ s@@ in@@ h
digambara	di@@ g@@ am@@ b@@ ar@@ a
diligence	di@@ l@@ ig@@ en@@ ce
dim	di@@ m
dim/core	di@@ m@@ /core
diplomacy	di@@ p@@ lo@@ ma@@ c@@ y
diq	di@@ q
dir	di@@ r
direction	di@@ re@@ ction
disambig	dis@@ am@@ bi@@ g
discharge	dis@@ ch@@ ar@@ ge
disclaimer	dis@@ c@@ la@@ im@@ er
discussion/dated	dis@@ c@@ us@@ s@@ ion@@ /dat@@ ed
diseasesdb2	dis@@ e@@ as@@ es@@ d@@ b@@ 2
display	dis@@ pla@@ y
dispute	dis@@ p@@ ut@@ e
distinguish	dis@@ t@@ in@@ gu@@ ish
district	dis@@ tr@@ ic@@ t
div	di@@ v
divbox	di@@ v@@ box
djsasso	d@@ j@@ s@@ as@@ s@@ o
dmitri	d@@ m@@ it@@ r@@ i
dmoz	d@@ mo@@ z
dmy	d@@ my
doc	doc
documentation	documentation
documentation/config	document@@ ation@@ /config
documentation/core	document@@ ation@@ /core
documentation/core2	document@@ ation@@ /co@@ re@@ 2
documentation/docname	documentation/@@ do@@ c@@ name
documentation/end	documentation/@@ end
documentation/id2	documentation/@@ id@@ 2
documentation/preload	documentation/@@ pre@@ lo@@ ad
documentation/start	documentation/@@ start
documentation/template	documentation/@@ template
documentation/title	documentation/@@ title
dog	do@@ g
doi	do@@ i
domain	do@@ main
don't	do@@ n@@ '@@ t
draft:જ્યૉર્જ	d@@ ra@@ f@@ t@@ :@@ જ@@ ્ય@@ ૉ@@ ર્જ
dragonbot	d@@ r@@ ag@@ on@@ bot
dravida	d@@ ra@@ vi@@ d@@ a
draw	d@@ ra@@ w
drenthe	d@@ re@@ nt@@ h@@ e
drink	d@@ rin@@ k
dropped	d@@ ro@@ p@@ p@@ ed
dsb	d@@ s@@ b
dts	d@@ t@@ s
dubious	du@@ b@@ io@@ us
dudík	du@@ d@@ í@@ k
dummytab	d@@ um@@ m@@ y@@ ta@@ b
duplicate	du@@ p@@ l@@ ic@@ ate
durango	d@@ ur@@ an@@ g@@ o
duration	d@@ ur@@ ation
durazno	du@@ ra@@ z@@ no
dutch	d@@ ut@@ ch
east	e@@ ast
eb1911	e@@ b@@ 19@@ 1@@ 1
ecuador	e@@ cu@@ a@@ do@@ r
ed	ed
edit	edit
editatwikidata	ed@@ it@@ at@@ wikidata
editnotice	edit@@ no@@ t@@ ice
editor's	ed@@ it@@ or@@ '@@ s
edits	edit ⧺s
educa33e	e@@ du@@ ca@@ 3@@ 3@@ e
edward	ed@@ war@@ d
effective	e@@ ff@@ e@@ ct@@ ive
effeietsanders	e@@ ff@@ e@@ i@@ e@@ t@@ s@@ and@@ ers
efn	e@@ f@@ n
efn-ua	e@@ f@@ n@@ -@@ u@@ a
egypt	e@@ g@@ yp@@ t
either	e@@ it@@ h@@ er
eivindgh	e@@ iv@@ in@@ d@@ g@@ h
election	election
election/row	ele@@ ct@@ ion@@ /@@ ro@@ w
election/shortname	ele@@ ct@@ ion@@ /@@ sh@@ ort@@ name
electors	ele@@ ct@@ or@@ s
elements	ele@@ ment@@ s
eliminated	el@@ im@@ in@@ ated
ell2	el@@ l@@ 2
emacs	e@@ ma@@ c@@ s
emausbot	e@@ ma@@ us@@ bot
